Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2021-05-10T06:30:05-0700,Trade,BUY_TO_CLOSE,AAPL  210618C00135000,Equity Option,Bought 1 AAPL 06/18/21 Call 135.00 @ 2.00,-200.00,1,-200.00,0.00,-0.13,100,AAPL,6/18/21,135.0,CALL,148272350
2021-05-08T06:29:59-0700,Money Movement,,,,Regulatory fee adjustment,-0.04,0,,--,0.00,,,,,,
2021-05-07T11:31:10-0700,Trade,SELL_TO_OPEN,IQ    210618P00015000,Equity Option,Sold 1 IQ 06/18/21 Put 15.00 @ 2.01,201.00,1,201.00,-1.00,-0.142,100,IQ,6/18/21,15.0,PUT,148273282
2021-05-07T11:31:10-0700,Trade,BUY_TO_CLOSE,IQ    210521P00015000,Equity Option,Bought 1 IQ 05/21/21 Put 15.00 @ 1.73,-173.00,1,-173.00,0.00,-0.13,100,IQ,5/21/21,15.0,PUT,148273282
2021-05-07T11:29:38-0700,Trade,BUY_TO_CLOSE,EBAY  210618P00055000,Equity Option,Bought 1 EBAY 06/18/21 Put 55.00 @ 0.61,-61.00,1,-61.00,0.00,-0.13,100,EBAY,6/18/21,55.0,PUT,148272550
2021-05-07T11:28:13-0700,Trade,BUY_TO_CLOSE,./ESM1 EW3K1 210521P4000,Future Option,Bought 1 /ESM1 EW3K1 05/21/21 Put 4000.00 @ 7.25,-362.50,1,-362.50,0.00,-0.87,1,/ESM1,5/21/21,4000.0,PUT,148271895
2021-05-07T10:38:27-0700,Trade,SELL_TO_CLOSE,PTON,Equity,Sold 100 PTON @ 85.52,"8,552.00",100,85.52,0.00,-0.142,,,,,,148250318
2021-05-07T10:38:27-0700,Trade,BUY_TO_CLOSE,PTON  210521C00100000,Equity Option,Bought 1 PTON 05/21/21 Call 100.00 @ 0.67,-67.00,1,-67.00,0.00,-0.13,100,PTON,5/21/21,100.0,CALL,148250318
2021-05-07T08:28:44-0700,Trade,SELL_TO_OPEN,SPY   210618P00370000,Equity Option,Sold 1 SPY 06/18/21 Put 370.00 @ 1.21,121.00,1,121.00,-1.00,-0.142,100,SPY,6/18/21,370.0,PUT,148183828
2021-05-07T08:28:35-0700,Trade,SELL_TO_OPEN,SPY   210618P00380000,Equity Option,Sold 1 SPY 06/18/21 Put 380.00 @ 1.69,169.00,1,169.00,-1.00,-0.142,100,SPY,6/18/21,380.0,PUT,148183702
