Lender,Max Loan Amount,Max LTV,Max DTI,Min Credit Score,Interest Rate
Bank of Big - Premier Option,300000,0.85,0.47,740,3.6
West Central Credit Union - Premier Option,400000,0.9,0.35,760,2.7
FHA Fredie Mac - Premier Option,600000,0.9,0.43,790,3.6
FHA Fannie Mae - Premier Option,500000,0.9,0.47,780,3.6
General MBS Partners - Premier Option,400000,0.95,0.35,790,3.0
Bank of Fintech - Premier Option,300000,0.9,0.47,740,3.15
iBank - Premier Option,500000,0.85,0.46,780,3.15
Goldman MBS - Premier Option,500000,0.8,0.4,770,3.6
Citi MBS - Premier Option,400000,0.9,0.47,780,3.6
Prosper MBS - Premier Option,400000,0.85,0.42,750,3.45
Developers Credit Union - Premier Option,300000,0.85,0.47,770,3.45
Bank of Stodge & Stiff - Premier Option,500000,0.9,0.41,790,3.15
Bank of Big - Starter Plus,300000,0.85,0.39,700,4.35
West Central Credit Union - Starter Plus,300000,0.8,0.44,650,3.9
FHA Fredie Mac - Starter Plus,300000,0.85,0.45,550,4.35
FHA Fannie Mae - Starter Plus,200000,0.9,0.37,630,4.2
General MBS Partners - Starter Plus,300000,0.85,0.36,670,4.05
Bank of Fintech - Starter Plus,100000,0.85,0.47,610,4.5
iBank - Starter Plus,300000,0.9,0.4,620,3.9
Goldman MBS - Starter Plus,100000,0.8,0.43,600,4.35
Citi MBS - Starter Plus,300000,0.8,0.39,740,4.05
Prosper MBS - Starter Plus,100000,0.9,0.38,640,3.75
Developers Credit Union - Starter Plus,200000,0.85,0.46,640,4.2
Bank of Stodge & Stiff - Starter Plus,100000,0.8,0.35,680,4.35
