Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2021-05-10T06:34:45-0700,Trade,BUY_TO_CLOSE,TSM   210618C00125000,Equity Option,Bought 1 TSM 06/18/21 Call 125.00 @ 0.87,-87.00,1,-87.00,0.00,-0.13,100,TSM,6/18/21,125.0,CALL,146814581
2021-05-10T06:30:05-0700,Trade,BUY_TO_CLOSE,AAPL  210618C00135000,Equity Option,Bought 1 AAPL 06/18/21 Call 135.00 @ 2.00,-200.00,1,-200.00,0.00,-0.13,100,AAPL,6/18/21,135.0,CALL,148269060
2021-05-08T06:30:32-0700,Money Movement,,,,Regulatory fee adjustment,-0.02,0,,--,0.00,,,,,,
2021-05-07T11:22:25-0700,Trade,SELL_TO_CLOSE,AMD   210618C00085000,Equity Option,Sold 1 AMD 06/18/21 Call 85.00 @ 1.52,152.00,1,152.00,0.00,-0.142,100,AMD,6/18/21,85.0,CALL,148269301
2021-05-07T08:23:45-0700,Trade,SELL_TO_OPEN,./ESM1 ESM1  210618C4450,Future Option,Sold 1 /ESM1 ESM1 06/18/21 Call 4450.00 @ 7.75,387.50,1,387.50,-2.50,-0.87,1,/ESM1,6/18/21,4450.0,CALL,148178276
2021-05-07T08:23:45-0700,Trade,SELL_TO_OPEN,./ESM1 ESM1  210618P3810,Future Option,Sold 1 /ESM1 ESM1 06/18/21 Put 3810.00 @ 16.25,812.50,1,812.50,-2.50,-0.87,1,/ESM1,6/18/21,3810.0,PUT,148178276
2021-05-04T06:45:06-0700,Trade,BUY_TO_CLOSE,./ESM1 EW3K1 210521C4300,Future Option,Bought 1 /ESM1 EW3K1 05/21/21 Call 4300.00 @ 4.75,-237.50,1,-237.50,0.00,-0.87,1,/ESM1,5/21/21,4300.0,CALL,147188271
2021-05-03T08:40:29-0700,Trade,BUY_TO_CLOSE,FUBO  210521P00020000,Equity Option,Bought 1 FUBO 05/21/21 Put 20.00 @ 2.04,-204.00,1,-204.00,0.00,-0.13,100,FUBO,5/21/21,20.0,PUT,146812366
2021-05-03T08:40:29-0700,Trade,SELL_TO_OPEN,FUBO  210618P00020000,Equity Option,Sold 1 FUBO 06/18/21 Put 20.00 @ 2.94,294.00,1,294.00,-1.00,-0.142,100,FUBO,6/18/21,20.0,PUT,146812366
2021-05-03T06:45:14-0700,Trade,BUY_TO_CLOSE,AMD   210521C00085000,Equity Option,Bought 1 AMD 05/21/21 Call 85.00 @ 1.01,-101.00,1,-101.00,0.00,-0.13,100,AMD,5/21/21,85.0,CALL,139886551
2021-05-01T06:54:43-0700,Money Movement,,,,Regulatory fee adjustment,-0.02,0,,--,0.00,,,,,,
